,Unnamed: 0,Unnamed: 0.1,Title,Year,IMDB Rating,Age Restriction,Genre,Language,Runtime,Country,Type,Release Date,OTT Release Date,OTT,OTT Year
6151,6151,6151,ThirTEEN Terrors,2014,6.9,Not Rated,Horror,Thai,30,"Hong Kong,United States,Russia,Singapore,India,Lithuania,United Kingdom,Canada,South Africa,Australia,Romania,Thailand,Hungary,Czech Republic,Greece,Slovakia,Malaysia,Iceland,Israel",Series,01-11-2014,2019-02-21,Netflix,2019
6152,6152,6152,"Cinema, Aspirins and Vultures",2006,7.4,Not Rated,"Adventure, Drama","Portuguese, German",120,Brazil,Movie,19-04-2006,2019-02-21,Netflix,2019
6153,6153,6153,Sadako vs. Kayako,2016,5.1,Not Rated,Horror,Japanese,120,Japan,Movie,18-06-2016,2019-02-21,Netflix,2019
6154,6154,6154,Patong Girl,2014,6.4,Not Rated,"Adventure, Drama, Family, Romance","Thai, English, German",120,"Switzerland,Germany",Movie,25-12-2014,2019-02-21,Netflix,2019
6155,6155,6155,Transformer,2018,7.4,Not Rated,Documentary,English,120,United States,Movie,12-09-2018,2019-02-20,Netflix,2019
6156,6156,6156,El ángel,2018,7.0,Not Rated,"Biography, Crime, Drama",Spanish,120,Spain,Movie,09-11-2018,2019-02-20,Netflix,2019
6157,6157,6157,Superfly,2018,5.2,R,"Action, Crime, Thriller","English, Spanish, Cantonese",120,"Canada,Japan,Romania,Australia",Movie,13-06-2018,2019-02-20,Netflix,2019
6158,6158,6158,Zero,2018,5.4,Not Rated,"Comedy, Drama, Romance",Hindi,180,"France,Russia,Hong Kong,Australia,Singapore,India,Lithuania,Slovakia,United Kingdom,Canada,United States,Iceland,Belgium,Romania,South Africa,Greece,Switzerland,Mexico,Argentina,Czech Republic,Thailand,Hungary,Turkey,Germany,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",Movie,21-12-2018,2019-02-20,Netflix,2019
6159,6159,6159,Kevin James: Sweat the Small Stuff,2001,7.5,TV-PG,"Documentary, Comedy",English,60,"Australia,Russia,Hungary,Lithuania,United Kingdom,Romania,South Africa,India,Thailand,Singapore,Czech Republic,United States",Movie,23-07-2001,2019-02-20,Netflix,2019
6160,6160,6160,Falsa identidad,1677,7.4,TV-14,"Crime, Drama, Thriller",Spanish,30,"Czech Republic,Australia,Russia,Singapore,India,Lithuania,Spain,United Kingdom,Romania,Slovakia,Greece,Portugal,Mexico,Argentina,Iceland,United States,Thailand,Hungary,Turkey,France,Hong Kong,Sweden,Poland,Germany,Belgium,Switzerland,South Africa,Japan,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia,Canada",Series,1677-09-23,2019-02-20,Netflix,2019
6161,6161,6161,Hampstead,2019,6.0,PG-13,"Comedy, Drama, Romance",English,120,"Sweden,Japan",Movie,14-06-2019,2019-02-19,Netflix,2019
6162,6162,6162,Life of the Party,2018,5.6,PG-13,Comedy,English,120,"Hong Kong,Italy",Movie,11-05-2018,2019-02-18,Netflix,2019
6163,6163,6163,Studio 54,2018,7.0,TV-MA,"Documentary, History, Music",English,120,"United States,Canada",Movie,05-10-2018,2019-02-16,Netflix,2019
6164,6164,6164,Genius,2018,4.6,Not Rated,"Action, Thriller",Hindi,120,"Hungary,Lithuania,United Kingdom,Canada,Australia,Singapore,Russia,South Africa,Romania,Thailand,India,Czech Republic,United States,Greece,Slovakia,Malaysia,Iceland,Israel",Movie,24-08-2018,2019-02-16,Netflix,2019
6165,6165,6165,Rivers Edge,2018,6.2,Not Rated,"Crime, Drama",Japanese,120,"Japan,Lithuania,Spain,United Kingdom,Canada,Hong Kong,Switzerland,Czech Republic,South Africa,United States,Argentina,Mexico,Belgium,Australia,Slovakia,France,Sweden,Singapore,Poland,India,Russia,Germany,Greece,Romania,Portugal,Iceland,Thailand,Hungary,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",Movie,16-02-2018,2019-02-16,Netflix,2019
6166,6166,6166,Beethoven Virus,2008,7.6,TV-Y,"Comedy, Drama, Romance",Korean,30,Russia,Series,10-09-2008,2019-02-15,Netflix,2019
6167,6167,6167,Three Girls,2017,8.2,TV-14,"Biography, Crime, Drama",English,30,United Kingdom,Series,16-05-2017,2019-02-15,Netflix,2019
6168,6168,6168,Hereditary,2018,7.3,R,"Drama, Horror, Mystery, Thriller","English, Spanish",180,"South Korea,United Kingdom,Canada,Japan,India",Movie,08-06-2018,2019-02-15,Netflix,2019
6169,6169,6169,The Breaker Upperers,2019,5.9,Not Rated,Comedy,English,120,"Spain,Canada,South Africa,Switzerland,Hong Kong,Argentina,Czech Republic,Mexico,Belgium,Japan,France,Singapore,Russia,South Korea,Poland,Sweden,Romania,Germany,Lithuania,United Kingdom,Slovakia,Greece,Portugal,Iceland,Thailand,Hungary,Turkey,India,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",Movie,15-02-2019,2019-02-15,Netflix,2019
6170,6170,6170,Larry Charles Dangerous World of Comedy,2019,7.3,Not Rated,"Documentary, Comedy",English,30,"Lithuania,Brazil,Israel,United Kingdom,Spain,Slovakia,Czech Republic,Switzerland,Canada,South Africa,Hong Kong,United States,Argentina,Mexico,Belgium,Japan,France,South Korea,Russia,Singapore,Netherlands,Australia,Sweden,Poland,Romania,India,Germany,Greece,Portugal,Iceland,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",Series,15-02-2019,2019-02-15,Netflix,2019
6171,6171,6171,Yucatán,2018,5.5,TV-MA,"Adventure, Comedy","Spanish, Polish",180,"Lithuania,Slovakia,Switzerland,Canada,United Kingdom,South Africa,Hong Kong,Argentina,Czech Republic,Mexico,Belgium,Australia,Japan,France,South Korea,Russia,Singapore,Romania,Poland,Sweden,Germany,Portugal,Iceland,Thailand,Hungary,Turkey,India,United States,Spain,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",Movie,31-08-2018,2019-02-15,Netflix,2019
